Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	17634.134180881447	-0.9	0.9	0.005761523046092184	311.29862560000004	17.643656809176495	0.4142857142857142
BDT_ONLY	14881.436177744446	-0.9	0.9	0.007036328067481436	333.8622848	18.271898773800167	0.39999999999999997
BDT_ONLY	14591.511211120585	-0.9	0.9	0.007591036414565826	379.9879952	19.49328077056297	0.3714285714285714
BDT_ONLY	13285.710438197828	-0.9	0.9	0.008337129840546697	379.9879952	19.49328077056297	0.3714285714285714
CVN_ONLY	2022.9072202714774	-1.1	0.85	0.10958456973293769	1743.9911456	41.761120023294396	0.9
CVN_ONLY	1953.2222858262849	-1.1	0.85	0.11349420849420849	1743.9911456	41.761120023294396	0.9
CVN_ONLY	1926.3844563876623	-1.1	0.85	0.11507537688442211	1743.9911456	41.761120023294396	0.9
CVN_ONLY	1927.8676871582354	-1.1	0.85	0.11498684210526315	1743.9911456	41.761120023294396	0.9
CVN_ONLY	854.771285891673	-1.1	0.8421052631578948	0.3555853658536585	3391.3379456000002	58.23519507651709	0.32857142857142857
CVN_ONLY	824.2088247402937	-1.1	0.8421052631578948	0.3701190476190476	3417.2961376000003	58.45764396210303	0.3163265306122449
CVN_ONLY	830.2724212924971	-1.1	0.9157894736842105	0.2724132947976879	1820.068616	42.662262199747445	0.3163265306122449
CVN_ONLY	804.2891513237831	-1.1	0.8421052631578948	0.3792857142857143	3417.2961376000003	58.45764396210303	0.3163265306122449
