Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	5693.742715972267	-0.9	0.9	0.01603206412825651	242.0169667350656	15.556894508065085	0.4142857142857142
BDT_ONLY	5456.454703620397	-0.9	0.9	0.01721442885771543	258.98217594168	16.092923163355998	0.39999999999999997
BDT_ONLY	4941.605404564976	-0.9	0.9	0.020052192066805846	293.6632673286528	17.136606062130646	0.3714285714285714
BDT_ONLY	5048.077623753001	-0.9	0.9	0.01962925851703407	293.6632673286528	17.136606062130646	0.3714285714285714
CVN_ONLY	1793.942313897202	-1.1	0.85	0.10742971887550201	1292.9591299766657	35.95774089089394	0.9
CVN_ONLY	1721.9450080905972	-1.1	0.85	0.1119215291750503	1292.9591299766657	35.95774089089394	0.9
CVN_ONLY	1695.9871672291981	-1.1	0.85	0.11363453815261045	1292.9591299766657	35.95774089089394	0.9
CVN_ONLY	1660.226784841798	-1.1	0.85	0.11608216432865731	1292.9591299766657	35.95774089089394	0.9
CVN_ONLY	723.3090718512565	-1.1	0.8421052631578948	0.36296629213483145	2494.486291751312	49.94483248296376	0.32857142857142857
CVN_ONLY	694.9928519581845	-1.1	0.8421052631578948	0.37916666666666665	2514.153923663405	50.14133946818139	0.3163265306122449
CVN_ONLY	702.0175470790364	-1.1	0.9157894736842105	0.27882226980728053	1336.7984316433153	36.562254192586586	0.3163265306122449
CVN_ONLY	681.6071601216931	-1.1	0.8421052631578948	0.38661290322580644	2514.153923663405	50.14133946818139	0.3163265306122449
