Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	8308.12492375947	-0.9	0.9	0.01105	245.3199278195392	15.662692227696336	0.4142857142857142
BDT_ONLY	7635.702456731679	-0.9	0.9	0.012397540983606558	263.7864829736416	16.241504947930213	0.39999999999999997
BDT_ONLY	7489.188515615491	-0.9	0.9	0.013420523138832997	303.5721505820736	17.42332203060236	0.3714285714285714
BDT_ONLY	7408.257762878156	-0.9	0.9	0.013567134268537074	303.5721505820736	17.42332203060236	0.3714285714285714
CVN_ONLY	1752.6880193473971	-1.1	0.85	0.11013052208835342	1297.313033224381	36.01823195583566	0.9
CVN_ONLY	1727.3346706398565	-1.1	0.85	0.11174698795180722	1297.313033224381	36.01823195583566	0.9
CVN_ONLY	1696.729110955948	-1.1	0.85	0.11376267748478702	1297.313033224381	36.01823195583566	0.9
CVN_ONLY	1695.9452085587156	-1.1	0.85	0.1138152610441767	1297.313033224381	36.01823195583566	0.9
CVN_ONLY	730.4223694554075	-1.1	0.8421052631578948	0.36148051948051946	2524.5132107010722	50.24453413756637	0.32857142857142857
CVN_ONLY	708.1556149357621	-1.1	0.8421052631578948	0.3741821946169772	2543.5803042341695	50.43392017515761	0.3163265306122449
CVN_ONLY	684.2480306853685	-1.1	0.8421052631578948	0.3872560975609756	2543.5803042341695	50.43392017515761	0.3163265306122449
