Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	6429.116804376572	-0.9	0.9	0.01603206412825651	321.8815808	17.941058519496558	0.4142857142857142
BDT_ONLY	6165.426387856093	-0.9	0.9	0.01721442885771543	344.44524	18.55923597565374	0.39999999999999997
BDT_ONLY	5590.502310879504	-0.9	0.9	0.020052192066805846	390.5709504	19.762867970008806	0.3714285714285714
BDT_ONLY	5710.95571391028	-0.9	0.9	0.01962925851703407	390.5709504	19.762867970008806	0.3714285714285714
CVN_ONLY	2049.88512317801	-1.1	0.85	0.10742971887550201	1719.6303808	41.46842631207507	0.9
CVN_ONLY	1967.615919236197	-1.1	0.85	0.1119215291750503	1719.6303808	41.46842631207507	0.9
CVN_ONLY	1937.9546578905026	-1.1	0.85	0.11363453815261045	1719.6303808	41.46842631207507	0.9
CVN_ONLY	1897.0923206307057	-1.1	0.85	0.11608216432865731	1719.6303808	41.46842631207507	0.9
CVN_ONLY	828.6352294360963	-1.1	0.8421052631578948	0.36296629213483145	3317.656616	57.599102562453176	0.32857142857142857
CVN_ONLY	796.2163726011252	-1.1	0.8421052631578948	0.37916666666666665	3343.8144864	57.825725126452156	0.3163265306122449
CVN_ONLY	802.2965952889451	-1.1	0.9157894736842105	0.27882226980728053	1777.9364736	42.165583994532795	0.3163265306122449
CVN_ONLY	780.881096894651	-1.1	0.8421052631578948	0.38661290322580644	3343.8144864	57.825725126452156	0.3163265306122449
