Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	8612.017460661282	-0.9	0.9	0.01187	315.7704930232558	17.76993227401995	0.45714285714285713
BDT_ONLY	7596.417179431178	-0.9	0.9	0.01455	378.1285315614618	19.44552728936559	0.4142857142857142
BDT_ONLY	8006.860483863284	-0.9	0.9	0.01494	452.75916279069764	21.278138142015568	0.3714285714285714
BDT_ONLY	7760.869294054641	-0.9	0.9	0.01464929859719439	403.3371003322259	20.083254226649274	0.39999999999999997
CVN_ONLY	2095.1837264110954	-1.1	0.85	0.1076706827309237	1810.041576079734	42.54458339295067	0.9
CVN_ONLY	2072.2765383021415	-1.1	0.85	0.10886088709677419	1810.041576079734	42.54458339295067	0.9
CVN_ONLY	2007.8467325912166	-1.1	0.85	0.11235412474849095	1810.041576079734	42.54458339295067	0.9
CVN_ONLY	2006.7624792304546	-1.1	0.85	0.11241482965931864	1810.041576079734	42.54458339295067	0.9
CVN_ONLY	839.861488986288	-1.1	0.8315789473684211	0.3736842105263158	3626.053602657807	60.21672195211067	0.3224489795918367
CVN_ONLY	813.099446676485	-1.1	0.8631578947368421	0.35230208333333335	2995.839383388704	54.73426151313914	0.29183673469387755
CVN_ONLY	620.1690097247678	-1.1	0.9052631578947369	0.38791152263374484	2074.399856478405	45.54557998838532	0.29183673469387755
CVN_ONLY	787.9965065189173	-1.1	0.8631578947368421	0.36352525252525253	2995.839383388704	54.73426151313914	0.29183673469387755
