Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	10006.605312461743	-0.9	0.9	0.005981963927855711	83.4655712	9.135949386900084	0.39999999999999997
BDT_ONLY	8180.717404626173	-0.9	0.9	0.007677906560928921	94.9969988	9.746640385281484	0.3714285714285714
BDT_ONLY	8143.2426936749125	-0.9	0.9	0.008025210084033613	105.48011480000001	10.270351250079036	0.3428571428571428
BDT_ONLY	7382.781324806094	-0.9	0.9	0.009031890660592255	111.17094920000001	10.54376352162737	0.32857142857142857
CVN_ONLY	1073.5858283636433	-1.1	0.85	0.10958456973293769	435.9977864	20.880560011647198	0.9
CVN_ONLY	1036.6030358158127	-1.1	0.85	0.11349420849420849	435.9977864	20.880560011647198	0.9
CVN_ONLY	1022.3598154344654	-1.1	0.85	0.11507537688442211	435.9977864	20.880560011647198	0.9
CVN_ONLY	1023.1469872431984	-1.1	0.85	0.11498684210526315	435.9977864	20.880560011647198	0.9
CVN_ONLY	440.4333470376668	-1.1	0.8	0.40231707317073173	1078.7126364	32.843760996572854	0.31020408163265306
CVN_ONLY	430.00250096852716	-1.1	0.8421052631578948	0.37156084656084654	861.3127784000001	29.348130747970988	0.3040816326530612
CVN_ONLY	432.5827284445028	-1.1	0.9052631578947369	0.2934104046242775	517.4665736000001	22.747891629775275	0.2979591836734694
CVN_ONLY	419.67758039371677	-1.1	0.8421052631578948	0.3792857142857143	854.3240344000001	29.228821981051514	0.3163265306122449
