Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	7681.824090912406	-0.9	0.9	0.011666666666666667	231.6576796973984	15.220304849029747	0.4142857142857142
BDT_ONLY	7834.193957379108	-0.9	0.9	0.011823647294589179	250.57463863574722	15.829549539887331	0.39999999999999997
BDT_ONLY	7367.964631844368	-0.9	0.9	0.013357220012118977	289.00909489144	17.000267494702545	0.3714285714285714
BDT_ONLY	7318.829625916416	-0.9	0.9	0.01344689378757515	289.00909489144	17.000267494702545	0.3714285714285714
CVN_ONLY	1727.9404038135876	-1.1	0.85	0.11173789173789174	1298.063706198125	36.02865118482962	0.9
CVN_ONLY	1700.0439300578125	-1.1	0.85	0.11357142857142857	1298.063706198125	36.02865118482962	0.9
CVN_ONLY	1610.2463850350907	-1.1	0.85	0.11990489130434782	1298.063706198125	36.02865118482962	0.9
CVN_ONLY	1633.7486695790456	-1.1	0.85	0.11818	1298.063706198125	36.02865118482962	0.9
CVN_ONLY	747.9035357744579	-1.1	0.8421052631578948	0.35120087336244543	2497.038579862042	49.970377023413	0.32857142857142857
CVN_ONLY	708.398872388494	-1.1	0.8421052631578948	0.3722338204592902	2517.607019342627	50.17576127317479	0.3163265306122449
CVN_ONLY	726.0617886117394	-1.1	0.9157894736842105	0.270363436123348	1345.0558343544992	36.67500285418529	0.3163265306122449
CVN_ONLY	695.5560682263739	-1.1	0.8421052631578948	0.37910677618069816	2517.607019342627	50.17576127317479	0.3163265306122449
