# bin_low bin_high n_reco n_sim efficiency stat_uncertainty
2.818382931264455049e+00 3.162277660168379523e+00 1.843600000000000000e+04 1.936300000000000000e+04 9.521251872127253213e-01 1.534314002793230438e-03
3.162277660168379523e+00 3.548133892335755046e+00 1.861000000000000000e+04 1.946400000000000000e+04 9.561241265926839761e-01 1.468094386343177585e-03
3.548133892335755046e+00 3.981071705534973137e+00 1.592000000000000000e+04 1.665900000000000000e+04 9.556395942133381061e-01 1.595219164952271177e-03
3.981071705534973137e+00 4.466835921509632712e+00 1.405400000000000000e+04 1.464100000000000000e+04 9.599071101700703545e-01 1.621298251279971840e-03
4.466835921509632712e+00 5.011872336272724660e+00 1.325500000000000000e+04 1.382800000000000000e+04 9.585623372866647340e-01 1.694837718818306346e-03
5.011872336272724660e+00 5.623413251903491172e+00 1.153200000000000000e+04 1.206300000000000000e+04 9.559810992290475040e-01 1.867740713122582365e-03
5.623413251903491172e+00 6.309573444801933384e+00 1.052300000000000000e+04 1.095000000000000000e+04 9.610045662100457076e-01 1.849960876631546102e-03
6.309573444801933384e+00 7.079457843841380438e+00 9.489000000000000000e+03 9.795000000000000000e+03 9.687595712098009404e-01 1.757779017668880360e-03
7.079457843841380438e+00 7.943282347242817565e+00 8.110000000000000000e+03 8.383000000000000000e+03 9.674340928068710932e-01 1.938619386283404284e-03
7.943282347242817565e+00 8.912509381337459402e+00 7.697000000000000000e+03 7.897000000000000000e+03 9.746739268076485274e-01 1.768001113065064637e-03
8.912509381337459402e+00 1.000000000000000000e+01 6.825000000000000000e+03 7.047000000000000000e+03 9.684972328650489626e-01 2.080757208376050708e-03
1.000000000000000000e+01 1.122018454301964141e+01 6.040000000000000000e+03 6.245000000000000000e+03 9.671737389911929661e-01 2.254741382615792992e-03
1.122018454301964141e+01 1.258925411794167459e+01 5.245000000000000000e+03 5.389000000000000000e+03 9.732789014659491977e-01 2.196806054946078869e-03
1.258925411794167459e+01 1.412537544622754027e+01 4.876000000000000000e+03 5.009000000000000000e+03 9.734477939708524596e-01 2.271596136775009579e-03
1.412537544622754027e+01 1.584893192461114175e+01 4.032000000000000000e+03 4.155000000000000000e+03 9.703971119133574241e-01 2.629397679106575125e-03
1.584893192461114175e+01 1.778279410038922848e+01 3.703000000000000000e+03 3.782000000000000000e+03 9.791115811739820041e-01 2.325455937222122970e-03
1.778279410038922848e+01 1.995262314968880801e+01 3.393000000000000000e+03 3.492000000000000000e+03 9.716494845360824639e-01 2.808653567394924812e-03
1.995262314968880801e+01 2.238721138568340052e+01 2.904000000000000000e+03 2.972000000000000000e+03 9.771197846567967193e-01 2.742707882848004382e-03
2.238721138568340052e+01 2.511886431509581996e+01 2.707000000000000000e+03 2.761000000000000000e+03 9.804418688880840449e-01 2.635368786631577930e-03
2.511886431509581996e+01 2.818382931264455138e+01 2.479000000000000000e+03 2.529000000000000000e+03 9.802293396599446318e-01 2.768216299841827141e-03
2.818382931264455138e+01 3.162277660168379256e+01 2.132000000000000000e+03 2.166000000000000000e+03 9.843028624192059484e-01 2.670824677211251948e-03
3.162277660168379256e+01 3.548133892335756912e+01 1.930000000000000000e+03 1.957000000000000000e+03 9.862033725089422997e-01 2.636782441888436274e-03
3.548133892335756912e+01 3.981071705534973404e+01 1.815000000000000000e+03 1.837000000000000000e+03 9.880239520958083999e-01 2.537966706470131534e-03
3.981071705534973404e+01 4.466835921509634488e+01 1.504000000000000000e+03 1.525000000000000000e+03 9.862295081967212829e-01 2.984206005148377916e-03
4.466835921509634488e+01 5.011872336272725192e+01 1.396000000000000000e+03 1.409000000000000000e+03 9.907735982966643373e-01 2.547111142116509873e-03
5.011872336272725192e+01 5.623413251903490817e+01 1.260000000000000000e+03 1.278000000000000000e+03 9.859154929577464976e-01 3.296288720654502302e-03
5.623413251903490817e+01 6.309573444801936404e+01 1.054000000000000000e+03 1.068000000000000000e+03 9.868913857677902302e-01 3.480386250186567020e-03
6.309573444801936404e+01 7.079457843841380793e+01 9.140000000000000000e+02 9.280000000000000000e+02 9.849137931034482873e-01 4.001429332183589586e-03
7.079457843841380793e+01 7.943282347242821118e+01 8.650000000000000000e+02 8.760000000000000000e+02 9.874429223744292106e-01 3.762255078130403996e-03
7.943282347242821118e+01 8.912509381337459047e+01 8.260000000000000000e+02 8.410000000000000000e+02 9.821640903686087443e-01 4.563958213733863845e-03
8.912509381337459047e+01 1.000000000000000000e+02 4.040000000000000000e+02 4.110000000000000000e+02 9.829683698296837191e-01 6.382296405406662210e-03
