Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	5738.1105335248	-0.9	0.9	0.015761523046092185	236.74423277004004	15.386495142495578	0.45714285714285713
BDT_ONLY	5371.397915770025	-0.9	0.9	0.01819639278557114	284.38475599686535	16.863711216599548	0.4142857142857142
BDT_ONLY	4927.949739017012	-0.9	0.9	0.021377870563674323	338.58800436207986	18.400760972364154	0.3714285714285714
BDT_ONLY	5127.456982905524	-0.9	0.9	0.019609218436873747	303.82986751801855	17.430716207833186	0.39999999999999997
CVN_ONLY	1803.5780560494625	-1.1	0.85	0.10742971887550201	1307.9268136915662	36.16527082287047	0.9
CVN_ONLY	1731.1940335301542	-1.1	0.85	0.1119215291750503	1307.9268136915662	36.16527082287047	0.9
CVN_ONLY	1705.0967661891898	-1.1	0.85	0.11363453815261045	1307.9268136915662	36.16527082287047	0.9
CVN_ONLY	1669.1443052598647	-1.1	0.85	0.11608216432865731	1307.9268136915662	36.16527082287047	0.9
CVN_ONLY	720.2455369131034	-1.1	0.8315789473684211	0.3747078651685393	2643.562911300776	51.41559015805202	0.3224489795918367
CVN_ONLY	694.3447510427286	-1.1	0.8631578947368421	0.3564617486338798	2202.8880714526417	46.93493444602476	0.29183673469387755
CVN_ONLY	693.1037993204872	-1.1	0.9052631578947369	0.29958244111349036	1516.961762543963	38.948193315530865	0.29183673469387755
CVN_ONLY	677.3425212339611	-1.1	0.8631578947368421	0.36540942928039705	2202.8880714526417	46.93493444602476	0.29183673469387755
