Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	4834.812103991233	-0.9	0.9	0.012372685185185184	83.3158124	9.127749580263472	0.39999999999999997
BDT_ONLY	4585.341867728949	-0.9	0.9	0.01375751503006012	96.09523	9.802817452140992	0.3714285714285714
BDT_ONLY	4411.0168573828205	-0.9	0.9	0.014937956108227731	107.7764164	10.381542101248735	0.3428571428571428
BDT_ONLY	4254.941684307712	-0.9	0.9	0.015741482965931863	112.4688588	10.60513360594764	0.32857142857142857
CVN_ONLY	1048.2111929229386	-1.1	0.85	0.11173789173789174	431.6048616	20.775101963648698	0.9
CVN_ONLY	1031.2885050979721	-1.1	0.85	0.11357142857142857	431.6048616	20.775101963648698	0.9
CVN_ONLY	976.8151033636997	-1.1	0.85	0.11990489130434782	431.6048616	20.775101963648698	0.9
CVN_ONLY	991.0721678225561	-1.1	0.85	0.11818	431.6048616	20.775101963648698	0.9
CVN_ONLY	442.77765859165396	-1.1	0.8	0.3972489082969432	1061.6401332	32.582819601747175	0.31020408163265306
CVN_ONLY	423.91013224779147	-1.1	0.8421052631578948	0.37346555323590813	844.2402752	29.055813105125797	0.3040816326530612
CVN_ONLY	432.7354090399794	-1.1	0.9052631578947369	0.2907488986784141	507.38281440000003	22.525159586560093	0.2979591836734694
CVN_ONLY	415.98464435736014	-1.1	0.8421052631578948	0.37910677618069816	837.1017724000001	28.932711113893216	0.3163265306122449
