Mode	SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CutValue
BDT_ONLY	3616.4746313723113	-0.9	0.9	0.016743486973947896	86.11131	9.27961798782687	0.39999999999999997
BDT_ONLY	3419.922554338466	-0.9	0.9	0.018557114228456913	97.6427376	9.881433985004403	0.3714285714285714
BDT_ONLY	3106.1986638187373	-0.9	0.9	0.021231732776617954	108.02601440000001	10.393556388455302	0.3428571428571428
BDT_ONLY	3133.5952473387288	-0.9	0.9	0.021392785571142284	112.7184568	10.616894875621592	0.32857142857142857
CVN_ONLY	1088.3574229863561	-1.1	0.85	0.10742971887550201	429.9075952	20.734213156037534	0.9
CVN_ONLY	1044.6777563646303	-1.1	0.85	0.1119215291750503	429.9075952	20.734213156037534	0.9
CVN_ONLY	1028.929530478354	-1.1	0.85	0.11363453815261045	429.9075952	20.734213156037534	0.9
CVN_ONLY	1007.2342522530435	-1.1	0.85	0.11608216432865731	429.9075952	20.734213156037534	0.9
CVN_ONLY	431.73003479602363	-1.1	0.8	0.4081123595505618	1065.5837816	32.64328080325261	0.31020408163265306
CVN_ONLY	415.8168576364533	-1.1	0.8421052631578948	0.3806830601092896	843.9906772	29.051517640219764	0.3040816326530612
CVN_ONLY	420.26725376626604	-1.1	0.9052631578947369	0.29916488222698073	506.5841008	22.50742323767872	0.2979591836734694
CVN_ONLY	407.6525177233743	-1.1	0.8421052631578948	0.38661290322580644	835.9536216	28.912862563226078	0.3163265306122449
